"name","v1_place_id","category","city_region","anchor_label","anchor_hook","why_it_matters","image_status","photo_wish","website","evidence_sources","path_membership","muse_connection","culture_forward_connection","events_connection","visitor_use","stakeholder_use","geo_role","open_questions","confidence","recommended_tier","demo_decision","implementation_priority","decision_basis"
"North Columbia Schoolhouse Cultural Center","north-columbia-schoolhouse-cultural-center-nevada-city","Community Arts / Rural Culture","Nevada City / Ridge","Ridge culture anchor","A historic schoolhouse turned community cultural center that keeps the Ridge visible inside Nevada County's arts map.","It broadens the prototype beyond downtown venues and helps prove that cultural discovery includes rural gathering places, community memory, performance, and place-based identity.","real existing V1 image; verify asset path before implementation","Exterior or gathering image that shows the schoolhouse as a living community venue.","https://www.northcolumbiaschoolhouse.org/","evidence-backed: official North Columbia Schoolhouse site; evidence-backed: docs/CULTURAL-ANCHOR-SET-PROPOSAL.md; drafted-from-current-data: MUSE 2026 launch/Rural Is the New Cool context; drafted-from-current-data: Culture Forward listening-session context","Ridge / rural culture path; community gathering path","MUSE launch/Rural Is the New Cool context makes this one of the clearest rural-culture anchors.","Culture Forward listening-session context supports treating it as a community voice and geography anchor.","Likely events/programming relevance; verify current public calendar before app copy.","Find a meaningful rural cultural destination and understand that culture is not only downtown.","Shows reviewers that the prototype can represent countywide cultural geography, not just convenience stops.","Extends the map north/east into Ridge identity and prevents a downtown-only spine.","needs-user-review: confirm exact Arts Council language and whether it belongs in the first V1 public route set.","High","Tier 3 / rural sub-anchor","Keep in data, but do not make it a top demo pin unless showing the Ridge/rural layer.","P2","Perplexity and local context support it as a meaningful rural cultural node, but it is geographically peripheral to a tight GV/NC demo."
"The Center for the Arts","the-center-for-the-arts-grass-valley","Performing Arts","Grass Valley","Grass Valley performance anchor","Grass Valley's major arts venue gives the map an immediate reason to plan around performances, exhibitions, classes, and community events.","It is the clearest institutional arts anchor in Grass Valley and gives the prototype a strong public-discovery and stakeholder-proof spine.","candidate image: https://thecenterforthearts.org/wp-content/uploads/2017/03/cfta-exterior.jpg; alternates in anchor-photo-candidates.csv","Exterior first; theater or gallery alternate if the card should emphasize programming over wayfinding.","https://thecenterforthearts.org/","evidence-backed: official Center for the Arts site; evidence-backed: official CFTA image candidates; evidence-backed: docs/anchor-cards/anchor-photo-candidates.csv; drafted-from-current-data: Culture Forward listening-session and MUSE launch context","Living Like a Local; Evening Arts Night; performance-first path","MUSE 2025 launch/Be Many and Be Loud context supports public arts visibility.","Culture Forward listening-session site/context supports it as stakeholder-recognized infrastructure.","Strong current events/programming role; use official calendar if wiring live events later.","See what is happening now in Grass Valley arts and plan a night around it.","Gives reviewers an obvious institutional proof point for the map.","Central Grass Valley anchor and likely route hub.","needs-user-review: resolve duplicate Center records before implementation.","High","Tier 1 / core demo anchor","Promote as a primary anchor.","P0","Strong official arts institution, current programming, Grass Valley hub, and obvious public/stakeholder legibility."
"North Star House","north-star-house-grass-valley","Historic Architecture / Civic Heritage","Grass Valley","Heritage design anchor","A Julia Morgan-designed historic house that connects Grass Valley's mining history, architecture, restoration, and civic imagination.","It gives the map a heritage/design anchor that is visually memorable and different from a venue listing. It helps connect arts, history, architecture, and place stewardship.","real existing V1 image; verify asset path before implementation","Exterior image that makes the architecture immediately recognizable.","https://www.northstarhouse.org/","evidence-backed: official North Star House site; drafted-from-current-data: V1 places data; drafted-from-current-data: docs/CULTURAL-ANCHOR-SET-PROPOSAL.md","Historic Grass Valley; architecture/design path; civic heritage path","Possible MUSE adjacency through design/heritage framing; no strong direct MUSE claim yet.","Possible Culture Forward heritage/stewardship connection; verify before making prominent claims.","Event/site-rental relevance exists but should not dominate the card.","Understand an iconic Grass Valley place beyond ordinary venue categories.","Shows the map can make heritage assets legible without reducing them to tourism stops.","Historic west/Grass Valley orientation point.","needs-user-review: decide whether heritage/design anchors belong beside active arts venues in V1.","Medium","Tier 1 / core demo anchor","Promote as a primary heritage/design anchor.","P0","Pairs well with Empire Mine and gives the demo preservation, architecture, and civic-history depth."
"Nevada City Winery","nevada-city-winery-nevada-city","Food / Wine / Gallery","Nevada City","Downtown culture-and-gathering anchor","A downtown winery and gallery stop that can connect art viewing, local gathering, and an evening Nevada City path.","It is useful because it behaves like a cultural connector: less formal than an institution, but strong for public route-making, evening use, and local texture.","real existing V1 image; verify asset path before implementation","Interior/gallery or storefront image that shows art and place, not only wine bottles.","https://www.nevadacitywinery.com/","evidence-backed: official Nevada City Winery site; drafted-from-current-data: V1 places data; drafted-from-current-data: docs/CULTURAL-ANCHOR-SET-PROPOSAL.md","Nevada City evening path; downtown gallery/wine path","Possible MUSE/gallery adjacency; verify before claiming a direct MUSE tie.","Possible Culture Forward downtown-economy/culture connection; keep modest without direct evidence.","Likely tastings, music, exhibitions, or public events; verify current calendar before app copy.","Build a low-friction evening path around art, wine, and downtown walking.","Shows that cultural discovery includes hybrid gathering places, not only formal venues.","Downtown Nevada City connector between arts, food, and walking routes.","needs-user-review: decide whether it should be a top-level anchor or a path stop.","Medium","Tier 2 / high-value route stop","Use as a marquee stop, not a primary anchor.","P1","Useful for evening/experience routes, but less clean as a top cultural anchor than theatre/gallery/institutional sites."
"Empire Mine","empire-mine-state-historic-park-grass-valley","Historic Site / Cultural Landscape","Grass Valley","Cultural landscape anchor","A major historic landscape that gives visitors a concrete way to understand the region's mining history, grounds, architecture, and public memory.","It should be framed carefully: not an arts venue, but a major orientation point for the cultural landscape that shaped Grass Valley and Nevada County identity.","real existing V1 image; verify asset path before implementation","Recognizable grounds, mine yard, or historic architecture image.","https://www.parks.ca.gov/?page_id=499","evidence-backed: California State Parks Empire Mine page; drafted-from-current-data: V1 places data; drafted-from-current-data: docs/CULTURAL-ANCHOR-SET-PROPOSAL.md","Historic landscape path; Grass Valley orientation path","No direct MUSE claim recommended unless a specific exhibit/article is found.","Possible Culture Forward context as heritage/cultural landscape; do not overclaim.","Public tours/programming may be relevant; verify official park programming if used.","Understand the place history behind the region before or after arts stops.","Shows the prototype can orient visitors in the broader cultural landscape.","Large Grass Valley landmark and spatial reference point.","needs-user-review: confirm whether this belongs in anchor tier or supporting context tier.","Medium","Tier 1 / core demo anchor","Promote as a primary cultural landscape anchor with careful copy.","P0","Official state historic park and major regional orientation point; frame as heritage landscape, not an arts venue."
"Hirschman Trail / Hirschman's Pond","hirschman-s-pond-nevada-city","Trail / Public Art / Outdoor Place","Nevada City","Outdoor orientation anchor","A pond-and-trail anchor that lets the map connect cultural discovery to walking, public space, and the landscape around Nevada City.","It should be framed as an outdoor place anchor, not an arts venue. Its value is wayfinding, pacing, landscape context, and possible public-art/nature-path connection.","candidate image: https://www.nevadacityca.gov/ImageRepository/Path?filePath=/documents/Intranet/35/56/59/Hirschman%20Pond%20Trail%20-%20Photo%20by%20Bear%20Yuba%20Land%20Trust.jpg; alternate: https://www.bylt.org/wp-content/gallery/hirschman-trail/hirschmanpondresize.jpg","Pond/trail image with enough place specificity to orient a visitor.","https://www.bylt.org/trail/hirschman-trail/","evidence-backed: Bear Yuba Land Trust Hirschman Trail page; evidence-backed: Nevada City trails/open-space page; evidence-backed: docs/anchor-cards/anchor-photo-candidates.csv; drafted-from-current-data: V1 places data","Outdoor pause path; Nevada City walking path; cultural landscape path","Possible MUSE/public-art/nature adjacency; verify any current installation or article before claiming.","Possible Culture Forward access/wellbeing/place connection; keep modest without direct evidence.","Trail programming not central; do not make event claims unless sourced.","Add a walking/outdoor reset to a culture route and understand nearby landscape context.","Shows that the map can support mixed cultural itineraries, not only venue-hopping.","Outdoor edge anchor for Nevada City routes.","needs-user-review: confirm exact place ID and whether any public-art installation claim is current.","Medium","Tier 3 / outdoor route stop","Use as a trail/outdoor layer stop, not a primary anchor.","P2","Strong for nature/history interface and route pacing, but not a central cultural institution."
"Nevada Theatre","nevada-theatre-nevada-city","Performing Arts / Historic Theatre","Nevada City","Historic performance anchor","A historic Nevada City theatre that connects live performance, local history, and downtown cultural identity.","It adds a strong Nevada City performing-arts counterweight to The Center and gives the prototype a clear night-out/history anchor.","real existing V1 image; verify asset path before implementation","Exterior marquee or interior performance image; exterior preferred for wayfinding.","https://nevadatheatre.com/","evidence-backed: official Nevada Theatre site; drafted-from-current-data: V1 places data; drafted-from-current-data: docs/CULTURAL-ANCHOR-SET-PROPOSAL.md","Nevada City night-out path; historic theatre path","Possible MUSE/performance-history adjacency; needs stronger direct source before prominent claim.","Possible Culture Forward performing-arts infrastructure connection; verify if making strategic claim.","Strong events/performance relevance; use official schedule if wiring live events.","Find live performance and understand Nevada City's theatre history.","Shows historic performance infrastructure in the Nevada City side of the prototype.","Downtown Nevada City performing-arts node.","needs-user-review: find stronger Arts Council/MUSE source if this stays highly prominent.","High","Tier 1 / core demo anchor","Promote as a primary historic performance anchor.","P0","Highly legible historic theatre and active cultural venue; balances The Center on the Nevada City side."
"Art Works Gallery","art-works-gallery-grass-valley","Gallery / Artist Cooperative","Grass Valley","Artist cooperative anchor","A downtown Grass Valley artist cooperative that makes local makers and gallery browsing visible in the discovery map.","It is valuable because it represents individual working artists and a walkable gallery experience, not just large institutions.","candidate image: https://15a6a41cab7480c269ac.cdn6.editmysite.com/uploads/b/15a6a41cab7480c269ac4085e66e327ee774f9cb487728204c0df63fa3fc3d0d/2023-09-03_14-46-35_1693777672.jpg?width=2400&dpr=2; alternates in anchor-photo-candidates.csv","Gallery/storefront/interior image that shows local artwork and the cooperative feel.","https://www.artworksgalleryco-op.com/","evidence-backed: official Art Works Gallery site; evidence-backed: docs/anchor-cards/anchor-photo-candidates.csv; drafted-from-current-data: V1 places data","Grass Valley gallery walk; local makers path","Likely MUSE/gallery adjacency; verify a direct MUSE listing or article before claiming.","Possible Culture Forward small-arts-business/local-artist connection; keep modest without direct evidence.","Possible exhibitions or artist features; verify before app copy.","Browse locally made work and add a gallery stop to a downtown route.","Shows that the prototype includes smaller artist-facing spaces, not only anchor institutions.","Walkable downtown Grass Valley gallery node.","needs-user-review: decide whether this is an anchor or a high-value path stop if evidence stays thin.","Medium","Tier 1 / core demo anchor","Promote as the visual-arts/local-artist economy anchor.","P0","Best compact-demo choice for representing working local artists and downtown gallery culture."
"ASiF Studios","asif-studios-grass-valley","Studios / Arts Education / Maker Space","Grass Valley","Working artist studio anchor","A hands-on studio and arts education space that shows the making side of Grass Valley's creative ecosystem.","It is one of the best anchors for showing process, classes, studios, and working artists. It complements performance and gallery anchors with active making.","candidate image: https://images.squarespace-cdn.com/content/v1/5237d167e4b0477ddbe376bb/1672513556272-HE7OT1SLFG5V16ADJLDI/Lani+Zila.Printmaking+Demo%27.ASiF.jpg; alternates in anchor-photo-candidates.csv","Active studio/class image with people making work; avoid a static empty-room shot.","https://www.asifstudios.com/","evidence-backed: official ASiF Studios site; evidence-backed: docs/anchor-cards/anchor-photo-candidates.csv; drafted-from-current-data: V1 places data","Working artists path; classes/workshops path; makers path","Possible MUSE/studio arts adjacency; verify direct listing/article before claiming.","Possible Culture Forward education/workforce/community arts connection; keep modest without direct evidence.","Strong class/workshop relevance; use official programming pages if wiring events.","Find hands-on classes, studios, and local artist process.","Shows reviewers the map can represent cultural production, not only consumption.","Grass Valley maker/studio node.","needs-user-review: decide whether it is a top-level anchor or route stop if evidence remains mostly official-site based.","High","Tier 2 / maker-studio route stop","Use as an important studios/classes stop, not a top pin.","P1","Strong production-space story, but more specialized than the top demo anchors."
"The Curious Forge","the-curious-forge-grass-valley","Makerspace / Creative Technology / Community Workshop","Grass Valley","Creative maker anchor","A community makerspace that gives the prototype a clear anchor for hands-on creative technology, craft, workshops, and shared tools.","It is the approved replacement for Miners Foundry in this pass because it better represents active making and contemporary creative infrastructure for the GVNC prototype scope.","real existing V1 image; verify asset path before implementation","Workshop image with tools, people, or active making; avoid generic logo-only imagery.","https://thecuriousforge.org/","evidence-backed: official Curious Forge site; drafted-from-current-data: user-approved substitution; drafted-from-current-data: docs/CULTURAL-ANCHOR-SET-PROPOSAL.md follow-up decision","Maker path; workshops/classes path; creative technology path","Possible MUSE/maker-community adjacency; verify before direct claim.","Possible Culture Forward creative workforce/learning/community infrastructure connection; keep modest until sourced.","Strong workshop/class relevance; verify current class calendar before app copy.","Discover a place to make, learn, repair, prototype, or take a workshop.","Shows reviewers that the prototype can include contemporary maker culture, not just heritage or performance.","Grass Valley maker/workshop anchor.","needs-user-review: confirm whether Curious Forge fully replaces Miners Foundry for V1 or simply outranks it in this scope.","High","Tier 1B / maker anchor","Promote if the demo needs a future-facing maker/creative-technology pillar; otherwise P1 route stop.","P1","User-approved Miners Foundry replacement and strong maker infrastructure, but slightly less externally legible than Tier 1 civic/arts landmarks."
